t(ticks); id_viat ; destin ; t_estacion ; t_vida 
478      ;     279 ;    E   ;          9 ;      9 
477      ;     280 ;    E   ;          6 ;      6 
483      ;     281 ;    E   ;         10 ;     10 
478      ;     282 ;    S   ;          3 ;      3 
477      ;     283 ;    S   ;          1 ;      1 
483      ;     284 ;    O   ;          5 ;      5 
484      ;     285 ;    E   ;          5 ;      5 
483      ;     286 ;    O   ;          3 ;      3 
489      ;     287 ;    E   ;          7 ;      7 
489      ;     288 ;    E   ;          6 ;      6 
489      ;     289 ;    N   ;          4 ;      4 
489      ;     290 ;    O   ;          2 ;      2 
490      ;     291 ;    E   ;          2 ;      2 
497      ;     292 ;    O   ;          8 ;      8 
492      ;     293 ;    N   ;          1 ;      1 
504      ;     294 ;    N   ;         10 ;     10 
504      ;     295 ;    O   ;          8 ;      8 
505      ;     296 ;    O   ;          8 ;      8 
500      ;     297 ;    O   ;          2 ;      2 
501      ;     298 ;    E   ;          2 ;      2 
506      ;     299 ;    E   ;          5 ;      5 
506      ;     300 ;    E   ;          4 ;      4 
514      ;     301 ;    O   ;         10 ;     10 
513      ;     302 ;    O   ;          7 ;      7 
511      ;     303 ;    E   ;          3 ;      3 
519      ;     304 ;    E   ;          9 ;      9 
521      ;     305 ;    O   ;          8 ;      8 
525      ;     306 ;    S   ;         10 ;     10 
517      ;     307 ;    E   ;          1 ;      1 
521      ;     308 ;    O   ;          3 ;      3 
523      ;     309 ;    O   ;          3 ;      3 
522      ;     310 ;    S   ;          1 ;      1 
525      ;     311 ;    O   ;          2 ;      2 
530      ;     312 ;    E   ;          5 ;      5 
534      ;     313 ;    N   ;          8 ;      8 
531      ;     314 ;    E   ;          2 ;      2 
532      ;     315 ;    N   ;          1 ;      1 
533      ;     316 ;    N   ;          1 ;      1 
539      ;     317 ;    N   ;          5 ;      5 
546      ;     318 ;    N   ;         10 ;     10 
542      ;     319 ;    E   ;          3 ;      3 
549      ;     320 ;    S   ;          9 ;      9 
551      ;     321 ;    E   ;         10 ;     10 
550      ;     322 ;    S   ;          8 ;      8 
547      ;     323 ;    O   ;          4 ;      4 
552      ;     324 ;    N   ;          8 ;      8 
548      ;     325 ;    O   ;          3 ;      3 
547      ;     326 ;    O   ;          1 ;      1 
552      ;     327 ;    S   ;          5 ;      5 
555      ;     328 ;    E   ;          6 ;      6 
557      ;     329 ;    E   ;          6 ;      6 
561      ;     330 ;    S   ;          9 ;      9 
564      ;     331 ;    O   ;          9 ;      9 
567      ;     332 ;    S   ;          9 ;      9 
562      ;     333 ;    N   ;          2 ;      2 
565      ;     334 ;    E   ;          4 ;      4 
569      ;     335 ;    S   ;          5 ;      5 
566      ;     336 ;    S   ;          1 ;      1 
570      ;     337 ;    E   ;          4 ;      4 
571      ;     338 ;    N   ;          4 ;      4 
573      ;     339 ;    N   ;          4 ;      4 
576      ;     340 ;    O   ;          6 ;      6 
574      ;     341 ;    E   ;          3 ;      3 
580      ;     342 ;    N   ;          6 ;      6 
578      ;     343 ;    O   ;          1 ;      1 
583      ;     344 ;    O   ;          5 ;      5 
583      ;     345 ;    O   ;          3 ;      3 
585      ;     346 ;    E   ;          4 ;      4 
590      ;     347 ;    E   ;          8 ;      8 
594      ;     348 ;    E   ;         10 ;     10 
588      ;     349 ;    O   ;          3 ;      3 
591      ;     350 ;    O   ;          4 ;      4 
595      ;     351 ;    O   ;          7 ;      7 
597      ;     352 ;    E   ;          7 ;      7 
596      ;     353 ;    S   ;          5 ;      5 
597      ;     354 ;    N   ;          4 ;      4 
601      ;     355 ;    E   ;          5 ;      5 
607      ;     356 ;    E   ;         10 ;     10 
609      ;     357 ;    S   ;         10 ;     10 
610      ;     358 ;    E   ;         10 ;     10 
609      ;     359 ;    S   ;          7 ;      7 
608      ;     360 ;    N   ;          4 ;      4 
608      ;     361 ;    O   ;          3 ;      3 
612      ;     362 ;    O   ;          4 ;      4 
613      ;     363 ;    N   ;          3 ;      3 
614      ;     364 ;    O   ;          3 ;      3 
614      ;     365 ;    E   ;          1 ;      1 
626      ;     366 ;    N   ;         10 ;     10 
622      ;     367 ;    N   ;          3 ;      3 
626      ;     368 ;    E   ;          5 ;      5 
633      ;     369 ;    E   ;          9 ;      9 
626      ;     370 ;    O   ;          1 ;      1 
632      ;     371 ;    E   ;          4 ;      4 
634      ;     372 ;    S   ;          5 ;      5 
632      ;     373 ;    S   ;          1 ;      1 
636      ;     374 ;    N   ;          2 ;      2 
640      ;     375 ;    O   ;          5 ;      5 
637      ;     376 ;    S   ;          1 ;      1 
641      ;     377 ;    O   ;          3 ;      3 
645      ;     378 ;    S   ;          4 ;      4 
652      ;     379 ;    O   ;         10 ;     10 
646      ;     380 ;    E   ;          3 ;      3 
646      ;     381 ;    O   ;          2 ;      2 
648      ;     382 ;    O   ;          1 ;      1 
657      ;     383 ;    N   ;          8 ;      8 
657      ;     384 ;    N   ;          5 ;      5 
661      ;     385 ;    E   ;          8 ;      8 
655      ;     386 ;    N   ;          1 ;      1 
660      ;     387 ;    E   ;          5 ;      5 
664      ;     388 ;    O   ;          6 ;      6 
666      ;     389 ;    O   ;          7 ;      7 
663      ;     390 ;    O   ;          3 ;      3 
671      ;     391 ;    O   ;          9 ;      9 
671      ;     392 ;    O   ;          6 ;      6 
671      ;     393 ;    S   ;          3 ;      3 
679      ;     394 ;    S   ;          9 ;      9 
680      ;     395 ;    O   ;          9 ;      9 
679      ;     396 ;    S   ;          5 ;      5 
684      ;     397 ;    O   ;          9 ;      9 
680      ;     398 ;    E   ;          3 ;      3 
680      ;     399 ;    O   ;          2 ;      2 
685      ;     400 ;    E   ;          6 ;      6 
687      ;     401 ;    S   ;          7 ;      7 
689      ;     402 ;    O   ;          8 ;      8 
691      ;     403 ;    S   ;          7 ;      7 
690      ;     404 ;    S   ;          5 ;      5 
688      ;     405 ;    O   ;          2 ;      2 
693      ;     406 ;    O   ;          6 ;      6 
695      ;     407 ;    S   ;          5 ;      5 
695      ;     408 ;    S   ;          3 ;      3 
698      ;     409 ;    N   ;          3 ;      3 
701      ;     410 ;    S   ;          5 ;      5 
700      ;     411 ;    O   ;          2 ;      2 
707      ;     412 ;    S   ;          7 ;      7 
703      ;     413 ;    O   ;          2 ;      2 
708      ;     414 ;    N   ;          6 ;      6 
705      ;     415 ;    E   ;          1 ;      1 
715      ;     416 ;    S   ;          8 ;      8 
715      ;     417 ;    O   ;          7 ;      7 
713      ;     418 ;    E   ;          4 ;      4 
716      ;     419 ;    N   ;          6 ;      6 
714      ;     420 ;    E   ;          2 ;      2 
714      ;     421 ;    O   ;          1 ;      1 
721      ;     422 ;    O   ;          7 ;      7 
717      ;     423 ;    N   ;          2 ;      2 
726      ;     424 ;    O   ;         10 ;     10 
719      ;     425 ;    O   ;          2 ;      2 
726      ;     426 ;    E   ;          8 ;      8 
722      ;     427 ;    E   ;          1 ;      1 
724      ;     428 ;    E   ;          1 ;      1 
726      ;     429 ;    S   ;          2 ;      2 
729      ;     430 ;    E   ;          2 ;      2 
734      ;     431 ;    O   ;          4 ;      4 
740      ;     432 ;    S   ;          9 ;      9 
742      ;     433 ;    O   ;          9 ;      9 
738      ;     434 ;    O   ;          2 ;      2 
738      ;     435 ;    S   ;          1 ;      1 
739      ;     436 ;    E   ;          1 ;      1 
744      ;     437 ;    S   ;          5 ;      5 
742      ;     438 ;    E   ;          2 ;      2 
742      ;     439 ;    E   ;          1 ;      1 
750      ;     440 ;    E   ;          8 ;      8 
751      ;     441 ;    O   ;          7 ;      7 
756      ;     442 ;    S   ;          9 ;      9 
754      ;     443 ;    N   ;          4 ;      4 
756      ;     444 ;    S   ;          3 ;      3 
759      ;     445 ;    O   ;          5 ;      5 
764      ;     446 ;    N   ;          9 ;      9 
760      ;     447 ;    O   ;          4 ;      4 
763      ;     448 ;    E   ;          6 ;      6 
759      ;     449 ;    O   ;          1 ;      1 
762      ;     450 ;    N   ;          3 ;      3 
769      ;     451 ;    E   ;          9 ;      9 
769      ;     452 ;    S   ;          6 ;      6 
768      ;     453 ;    N   ;          2 ;      2 
768      ;     454 ;    O   ;          1 ;      1 
777      ;     455 ;    S   ;          8 ;      8 
779      ;     456 ;    E   ;          9 ;      9 
773      ;     457 ;    N   ;          2 ;      2 
779      ;     458 ;    N   ;          6 ;      6 
775      ;     459 ;    S   ;          1 ;      1 
778      ;     460 ;    N   ;          3 ;      3 
778      ;     461 ;    S   ;          1 ;      1 
788      ;     462 ;    E   ;         10 ;     10 
789      ;     463 ;    S   ;         10 ;     10 
789      ;     464 ;    S   ;          9 ;      9 
790      ;     465 ;    E   ;          9 ;      9 
785      ;     466 ;    S   ;          3 ;      3 
784      ;     467 ;    S   ;          1 ;      1 
793      ;     468 ;    E   ;          9 ;      9 
797      ;     469 ;    E   ;         10 ;     10 
793      ;     470 ;    S   ;          5 ;      5 
792      ;     471 ;    N   ;          2 ;      2 
802      ;     472 ;    O   ;         10 ;     10 
802      ;     473 ;    O   ;          7 ;      7 
804      ;     474 ;    N   ;          8 ;      8 
806      ;     475 ;    N   ;          7 ;      7 
808      ;     476 ;    E   ;          6 ;      6 
812      ;     477 ;    S   ;          9 ;      9 
814      ;     478 ;    E   ;          9 ;      9 
814      ;     479 ;    S   ;          8 ;      8 
817      ;     480 ;    O   ;          9 ;      9 
816      ;     481 ;    N   ;          5 ;      5 
818      ;     482 ;    S   ;          6 ;      6 
820      ;     483 ;    O   ;          7 ;      7 
817      ;     484 ;    O   ;          1 ;      1 
820      ;     485 ;    N   ;          2 ;      2 
823      ;     486 ;    E   ;          4 ;      4 
829      ;     487 ;    S   ;          9 ;      9 
830      ;     488 ;    S   ;          9 ;      9 
825      ;     489 ;    S   ;          1 ;      1 
833      ;     490 ;    E   ;          6 ;      6 
836      ;     491 ;    E   ;          6 ;      6 
838      ;     492 ;    N   ;          7 ;      7 
841      ;     493 ;    N   ;          7 ;      7 
842      ;     494 ;    S   ;          6 ;      6 
845      ;     495 ;    E   ;          6 ;      6 
849      ;     496 ;    S   ;          7 ;      7 
853      ;     497 ;    N   ;         10 ;     10 
853      ;     498 ;    O   ;          9 ;      9 
849      ;     499 ;    N   ;          4 ;      4 
851      ;     500 ;    O   ;          5 ;      5 
855      ;     501 ;    O   ;          7 ;      7 
852      ;     502 ;    E   ;          3 ;      3 
853      ;     503 ;    S   ;          3 ;      3 
858      ;     504 ;    S   ;          5 ;      5 
859      ;     505 ;    S   ;          5 ;      5 
856      ;     506 ;    E   ;          1 ;      1 
864      ;     507 ;    E   ;          7 ;      7 
866      ;     508 ;    E   ;          6 ;      6 
868      ;     509 ;    S   ;          6 ;      6 
870      ;     510 ;    N   ;          7 ;      7 
872      ;     511 ;    O   ;          7 ;      7 
868      ;     512 ;    S   ;          1 ;      1 
875      ;     513 ;    O   ;          6 ;      6 
877      ;     514 ;    E   ;          7 ;      7 
881      ;     515 ;    N   ;          8 ;      8 
882      ;     516 ;    S   ;          8 ;      8 
877      ;     517 ;    S   ;          2 ;      2 
885      ;     518 ;    N   ;          9 ;      9 
884      ;     519 ;    O   ;          6 ;      6 
887      ;     520 ;    N   ;          7 ;      7 
887      ;     521 ;    S   ;          6 ;      6 
893      ;     522 ;    N   ;          9 ;      9 
891      ;     523 ;    E   ;          6 ;      6 
897      ;     524 ;    E   ;         10 ;     10 
891      ;     525 ;    E   ;          2 ;      2 
894      ;     526 ;    N   ;          4 ;      4 
896      ;     527 ;    O   ;          5 ;      5 
900      ;     528 ;    S   ;          7 ;      7 
899      ;     529 ;    O   ;          4 ;      4 
903      ;     530 ;    N   ;          7 ;      7 
905      ;     531 ;    O   ;          6 ;      6 
902      ;     532 ;    S   ;          1 ;      1 
909      ;     533 ;    E   ;          7 ;      7 
906      ;     534 ;    S   ;          3 ;      3 
913      ;     535 ;    O   ;          9 ;      9 
915      ;     536 ;    N   ;          9 ;      9 
913      ;     537 ;    E   ;          4 ;      4 
920      ;     538 ;    N   ;         10 ;     10 
914      ;     539 ;    N   ;          3 ;      3 
916      ;     540 ;    N   ;          3 ;      3 
918      ;     541 ;    O   ;          4 ;      4 
924      ;     542 ;    E   ;          7 ;      7 
922      ;     543 ;    N   ;          4 ;      4 
929      ;     544 ;    E   ;          9 ;      9 
931      ;     545 ;    E   ;         10 ;     10 
928      ;     546 ;    O   ;          6 ;      6 
932      ;     547 ;    O   ;          7 ;      7 
930      ;     548 ;    O   ;          3 ;      3 
934      ;     549 ;    O   ;          6 ;      6 
933      ;     550 ;    E   ;          2 ;      2 
941      ;     551 ;    E   ;          9 ;      9 
937      ;     552 ;    O   ;          3 ;      3 
937      ;     553 ;    E   ;          2 ;      2 
941      ;     554 ;    S   ;          4 ;      4 
949      ;     555 ;    E   ;         10 ;     10 
942      ;     556 ;    O   ;          1 ;      1 
944      ;     557 ;    N   ;          2 ;      2 
952      ;     558 ;    S   ;          7 ;      7 
948      ;     559 ;    O   ;          2 ;      2 
954      ;     560 ;    S   ;          5 ;      5 
951      ;     561 ;    O   ;          1 ;      1 
957      ;     562 ;    S   ;          6 ;      6 
954      ;     563 ;    O   ;          2 ;      2 
959      ;     564 ;    N   ;          5 ;      5 
956      ;     565 ;    S   ;          1 ;      1 
964      ;     566 ;    E   ;          8 ;      8 
961      ;     567 ;    O   ;          4 ;      4 
964      ;     568 ;    S   ;          6 ;      6 
964      ;     569 ;    E   ;          5 ;      5 
962      ;     570 ;    E   ;          1 ;      1 
970      ;     571 ;    S   ;          8 ;      8 
966      ;     572 ;    O   ;          3 ;      3 
975      ;     573 ;    S   ;         10 ;     10 
970      ;     574 ;    N   ;          4 ;      4 
974      ;     575 ;    E   ;          6 ;      6 
972      ;     576 ;    E   ;          2 ;      2 
974      ;     577 ;    O   ;          3 ;      3 
976      ;     578 ;    O   ;          3 ;      3 
979      ;     579 ;    S   ;          5 ;      5 
985      ;     580 ;    S   ;          8 ;      8 
979      ;     581 ;    S   ;          1 ;      1 
989      ;     582 ;    O   ;          8 ;      8 
989      ;     583 ;    E   ;          7 ;      7 
988      ;     584 ;    N   ;          5 ;      5 
987      ;     585 ;    E   ;          2 ;      2 
988      ;     586 ;    E   ;          2 ;      2 
995      ;     587 ;    O   ;          7 ;      7 
997      ;     588 ;    E   ;          6 ;      6 
1002     ;     589 ;    O   ;         10 ;     10 
1003     ;     590 ;    O   ;          9 ;      9 
996      ;     591 ;    O   ;          1 ;      1 
1002     ;     592 ;    O   ;          6 ;      6 
1006     ;     593 ;    O   ;          9 ;      9 
999      ;     594 ;    E   ;          1 ;      1 
1001     ;     595 ;    S   ;          2 ;      2 
